p1,p2,type,counter,target,player1_bas,player1_tgt,player1_prz,player2_bas,player2_tgt,player2_prz
1069,11126,groupCompetitiveTime,Bike_Km,38.00,25.88,34.00,270.00,31.87,42.00,180.00
1069,11126,groupCompetitiveTime,Walk_Km,21.00,17.49,23.00,180.00,14.35,19.00,240.00
1069,11126,groupCompetitiveTime,green leaves,780.00,647.67,850.00,160.00,543.27,710.00,270.00
1069,11126,groupCooperative,Bike_Km,76.00,25.88,34.00,210.00,31.87,42.00,210.00
1069,11126,groupCooperative,Walk_Km,42.00,17.49,23.00,190.00,14.35,19.00,190.00
1069,11126,groupCooperative,green leaves,1600.00,647.67,850.00,210.00,543.27,710.00,210.00
1069,127,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,0.00,5.00,100.00
1069,127,groupCompetitiveTime,Walk_Km,16.00,17.49,23.00,160.00,6.43,9.00,270.00
1069,127,groupCompetitiveTime,green leaves,530.00,647.67,850.00,140.00,151.87,200.00,270.00
1069,127,groupCooperative,Bike_Km,39.00,25.88,34.00,180.00,0.00,5.00,180.00
1069,127,groupCooperative,Walk_Km,32.00,17.49,23.00,240.00,6.43,9.00,240.00
1069,127,groupCooperative,green leaves,1100.00,647.67,850.00,180.00,151.87,200.00,180.00
1069,16751,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,0.00,5.00,100.00
1069,16751,groupCompetitiveTime,Walk_Km,12.00,17.49,23.00,160.00,0.00,1.00,100.00
1069,16751,groupCompetitiveTime,green leaves,450.00,647.67,850.00,140.00,0.00,50.00,100.00
1069,16751,groupCooperative,Bike_Km,39.00,25.88,34.00,180.00,0.00,5.00,180.00
1069,16751,groupCooperative,Walk_Km,24.00,17.49,23.00,190.00,0.00,1.00,190.00
1069,16751,groupCooperative,green leaves,900.00,647.67,850.00,180.00,0.00,50.00,180.00
1069,1683,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,0.00,5.00,100.00
1069,1683,groupCompetitiveTime,Walk_Km,12.00,17.49,23.00,160.00,0.00,1.00,100.00
1069,1683,groupCompetitiveTime,green leaves,450.00,647.67,850.00,140.00,0.00,50.00,100.00
1069,1683,groupCooperative,Bike_Km,39.00,25.88,34.00,180.00,0.00,5.00,180.00
1069,1683,groupCooperative,Walk_Km,24.00,17.49,23.00,190.00,0.00,1.00,190.00
1069,1683,groupCooperative,green leaves,900.00,647.67,850.00,180.00,0.00,50.00,180.00
1069,18375,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,0.00,5.00,100.00
1069,18375,groupCompetitiveTime,Walk_Km,12.00,17.49,23.00,160.00,0.00,1.00,100.00
1069,18375,groupCompetitiveTime,green leaves,450.00,647.67,850.00,140.00,0.00,50.00,100.00
1069,18375,groupCooperative,Bike_Km,39.00,25.88,34.00,180.00,0.00,5.00,180.00
1069,18375,groupCooperative,Walk_Km,24.00,17.49,23.00,190.00,0.00,1.00,190.00
1069,18375,groupCooperative,green leaves,900.00,647.67,850.00,180.00,0.00,50.00,180.00
1069,18424,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,1.06,5.00,270.00
1069,18424,groupCompetitiveTime,Walk_Km,13.00,17.49,23.00,160.00,1.51,2.00,270.00
1069,18424,groupCompetitiveTime,green leaves,460.00,647.67,850.00,140.00,52.47,69.00,270.00
1069,18424,groupCooperative,Bike_Km,39.00,25.88,34.00,240.00,1.06,5.00,240.00
1069,18424,groupCooperative,Walk_Km,25.00,17.49,23.00,190.00,1.51,2.00,190.00
1069,18424,groupCooperative,green leaves,920.00,647.67,850.00,180.00,52.47,69.00,180.00
1069,19092,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,0.00,5.00,100.00
1069,19092,groupCompetitiveTime,Walk_Km,14.00,17.49,23.00,160.00,3.48,5.00,270.00
1069,19092,groupCompetitiveTime,green leaves,490.00,647.67,850.00,140.00,88.80,120.00,270.00
1069,19092,groupCooperative,Bike_Km,39.00,25.88,34.00,180.00,0.00,5.00,180.00
1069,19092,groupCooperative,Walk_Km,28.00,17.49,23.00,240.00,3.48,5.00,240.00
1069,19092,groupCooperative,green leaves,970.00,647.67,850.00,180.00,88.80,120.00,180.00
1069,19455,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,0.35,5.00,270.00
1069,19455,groupCompetitiveTime,Walk_Km,22.00,17.49,23.00,180.00,15.73,21.00,190.00
1069,19455,groupCompetitiveTime,green leaves,920.00,647.67,850.00,240.00,758.20,990.00,160.00
1069,19455,groupCooperative,Bike_Km,39.00,25.88,34.00,240.00,0.35,5.00,240.00
1069,19455,groupCooperative,Walk_Km,44.00,17.49,23.00,190.00,15.73,21.00,190.00
1069,19455,groupCooperative,green leaves,1900.00,647.67,850.00,180.00,758.20,990.00,180.00
1069,19658,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,0.00,5.00,100.00
1069,19658,groupCompetitiveTime,Walk_Km,12.00,17.49,23.00,160.00,0.00,1.00,100.00
1069,19658,groupCompetitiveTime,green leaves,450.00,647.67,850.00,140.00,0.00,50.00,100.00
1069,19658,groupCooperative,Bike_Km,39.00,25.88,34.00,180.00,0.00,5.00,180.00
1069,19658,groupCooperative,Walk_Km,24.00,17.49,23.00,190.00,0.00,1.00,190.00
1069,19658,groupCooperative,green leaves,900.00,647.67,850.00,180.00,0.00,50.00,180.00
1069,2176,groupCompetitiveTime,Bike_Km,20.00,25.88,34.00,140.00,0.00,5.00,100.00
1069,2176,groupCompetitiveTime,Walk_Km,12.00,17.49,23.00,160.00,0.00,1.00,100.00
1069,2176,groupCompetitiveTime,green leaves,450.00,647.67,850.00,140.00,0.00,50.00,100.00
1069,2176,groupCooperative,Bike_Km,39.00,25.88,34.00,180.00,0.00,5.00,180.00
1069,2176,groupCooperative,Walk_Km,24.00,17.49,23.00,190.00,0.00,1.00,190.00
